Threshold_Percentile,Threshold_Value,Accuracy,Precision,Recall,F1_Score,True_Positives,False_Positives,True_Negatives,False_Negatives,Alerts_Per_Fraud
0.9,0.2923844178729395,0.8987436062968664,0.0016671396140749148,0.10491071428571429,0.0032821229050279325,47,28145,253325,401,598.8297872340426
0.95,0.2962998975482703,0.9487439610099391,0.0033342792281498296,0.10491071428571429,0.006463146314631463,47,14049,267421,401,298.9148936170213
0.99,0.4122538535697069,0.9887130300300088,0.01524822695035461,0.09598214285714286,0.026315789473684213,43,2777,278693,405,64.5813953488372
